player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose
Dep,ZETA,1,0,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119512,184456,Duelist,18,No,lose
Laz,ZETA,2,1,1,0,1,0,0,0,0,Sova,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,lose
crow,ZETA,2,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,lose
TENNN,ZETA,1,3,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 1,119512,184456,Sentinel,18,No,lose
SugarZ3ro,ZETA,1,0,0,0,0,0,0,0,0,Omen,Ascent,League Play: Week 1,119512,184456,Controller,18,No,lose
stax,DRX,4,0,1,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,win
Rb,DRX,0,2,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 1,119512,184456,Sentinel,18,No,win
Zest,DRX,2,1,0,0,1,0,0,0,0,Sova,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,win
MaKo,DRX,5,1,0,0,2,0,0,0,0,Omen,Ascent,League Play: Week 1,119512,184456,Controller,18,No,win
Foxy9,DRX,2,1,0,1,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119512,184456,Duelist,18,No,win
Dep,ZETA,3,0,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119513,184456,Duelist,18,No,lose
Laz,ZETA,0,0,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119513,184456,Initiator,18,No,lose
crow,ZETA,2,0,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119513,184456,Controller,18,No,lose
TENNN,ZETA,1,0,0,0,0,0,0,0,0,Killjoy,Pearl,League Play: Week 1,119513,184456,Sentinel,18,No,lose
SugarZ3ro,ZETA,2,0,2,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119513,184456,Controller,18,No,lose
stax,DRX,2,3,0,0,1,1,0,0,0,Kayo,Pearl,League Play: Week 1,119513,184456,Initiator,18,No,win
Rb,DRX,1,1,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119513,184456,Controller,18,No,win
Zest,DRX,5,0,0,0,1,0,0,0,0,Fade,Pearl,League Play: Week 1,119513,184456,Initiator,18,No,win
MaKo,DRX,3,0,0,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119513,184456,Controller,18,No,win
Foxy9,DRX,1,2,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119513,184456,Duelist,18,No,win
xeta,T1,3,1,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119515,184457,Controller,21,No,win
iNTRO,T1,3,2,0,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119515,184457,Controller,21,No,win
Munchkin,T1,2,2,1,0,0,0,0,0,0,Killjoy,Pearl,League Play: Week 1,119515,184457,Sentinel,21,No,win
Sayaplayer,T1,3,1,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119515,184457,Duelist,21,No,win
Carpe,T1,2,2,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119515,184457,Initiator,21,No,win
Bazzi,GES,3,2,0,0,0,0,0,0,0,Fade,Pearl,League Play: Week 1,119515,184457,Initiator,21,No,lose
AYRIN,GES,1,1,0,0,0,1,0,0,0,Killjoy,Pearl,League Play: Week 1,119515,184457,Sentinel,21,No,lose
WRONSKI,GES,2,0,0,0,0,0,0,0,0,Kayo,Pearl,League Play: Week 1,119515,184457,Initiator,21,No,lose
Monyet,GES,1,0,0,0,0,0,0,0,0,Astra,Pearl,League Play: Week 1,119515,184457,Controller,21,No,lose
t3xture,GES,3,1,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119515,184457,Duelist,21,No,lose
xeta,T1,2,0,1,0,0,0,0,0,0,Sova,Haven,League Play: Week 1,119516,184457,Initiator,17,No,lose
Munchkin,T1,0,1,0,0,0,0,0,0,0,Killjoy,Haven,League Play: Week 1,119516,184457,Sentinel,17,No,lose
