team,pb_phase,map,tourney_type,match_id
DRX,ban,Lotus,League Play: Week 1,184456
ZETA,ban,Fracture,League Play: Week 1,184456
DRX,pick,Ascent,League Play: Week 1,184456
ZETA,pick,Pearl,League Play: Week 1,184456
DRX,ban,Split,League Play: Week 1,184456
ZETA,ban,Icebox,League Play: Week 1,184456
GES,ban,Fracture,League Play: Week 1,184457
T1,ban,Split,League Play: Week 1,184457
GES,pick,Pearl,League Play: Week 1,184457
T1,pick,Haven,League Play: Week 1,184457
GES,ban,Ascent,League Play: Week 1,184457
T1,ban,Icebox,League Play: Week 1,184457
PRX,ban,Icebox,League Play: Week 1,184458
DFM,ban,Ascent,League Play: Week 1,184458
PRX,pick,Pearl,League Play: Week 1,184458
DFM,pick,Lotus,League Play: Week 1,184458
PRX,ban,Haven,League Play: Week 1,184458
DFM,ban,Split,League Play: Week 1,184458
TLN,ban,Haven,League Play: Week 1,184459
TS,ban,Pearl,League Play: Week 1,184459
TLN,pick,Ascent,League Play: Week 1,184459
TS,pick,Icebox,League Play: Week 1,184459
TLN,ban,Split,League Play: Week 1,184459
TS,ban,Lotus,League Play: Week 1,184459
GEN,ban,Icebox,League Play: Week 1,184460
RRQ,ban,Split,League Play: Week 1,184460
GEN,pick,Fracture,League Play: Week 1,184460
RRQ,pick,Lotus,League Play: Week 1,184460
GEN,ban,Ascent,League Play: Week 1,184460
RRQ,ban,Pearl,League Play: Week 1,184460
ZETA,ban,Fracture,League Play: Week 2,184461
RRQ,ban,Pearl,League Play: Week 2,184461
ZETA,pick,Haven,League Play: Week 2,184461
RRQ,pick,Ascent,League Play: Week 2,184461
ZETA,ban,Icebox,League Play: Week 2,184461
RRQ,ban,Split,League Play: Week 2,184461
T1,ban,Split,League Play: Week 2,184462
TLN,ban,Pearl,League Play: Week 2,184462
T1,pick,Ascent,League Play: Week 2,184462
TLN,pick,Haven,League Play: Week 2,184462
T1,ban,Icebox,League Play: Week 2,184462
TLN,ban,Fracture,League Play: Week 2,184462
TS,ban,Pearl,League Play: Week 2,184463
PRX,ban,Icebox,League Play: Week 2,184463
TS,pick,Haven,League Play: Week 2,184463
PRX,pick,Fracture,League Play: Week 2,184463
TS,ban,Ascent,League Play: Week 2,184463
PRX,ban,Lotus,League Play: Week 2,184463
DFM,ban,Icebox,League Play: Week 2,184465
GEN,ban,Split,League Play: Week 2,184465
DFM,pick,Lotus,League Play: Week 2,184465
GEN,pick,Fracture,League Play: Week 2,184465
DFM,ban,Ascent,League Play: Week 2,184465
GEN,ban,Haven,League Play: Week 2,184465
DRX,ban,Lotus,League Play: Week 2,184466
GES,ban,Ascent,League Play: Week 2,184466
DRX,pick,Haven,League Play: Week 2,184466
GES,pick,Split,League Play: Week 2,184466
DRX,ban,Fracture,League Play: Week 2,184466
GES,ban,Icebox,League Play: Week 2,184466
RRQ,ban,Lotus,League Play: Week 3,184467
DFM,ban,Icebox,League Play: Week 3,184467
RRQ,pick,Haven,League Play: Week 3,184467
DFM,pick,Pearl,League Play: Week 3,184467
RRQ,ban,Fracture,League Play: Week 3,184467
DFM,ban,Split,League Play: Week 3,184467
T1,ban,Icebox,League Play: Week 3,184468
PRX,ban,Haven,League Play: Week 3,184468
T1,pick,Pearl,League Play: Week 3,184468
PRX,pick,Fracture,League Play: Week 3,184468
T1,ban,Ascent,League Play: Week 3,184468
